subscription_id,usage_date,month_id,download_gb,upload_gb,avg_speed_mbps
S000001,2025-03-01,202503,394.7,77.23,797.15
S000001,2025-04-01,202504,487.07,75.32,664.88
S000001,2025-05-01,202505,492.13,95.35,629.58
S000001,2025-06-01,202506,398.83,70.73,630.14
S000001,2025-07-01,202507,371.78,41.73,441.26
S000001,2025-08-01,202508,299.39,59.74,747.14
S000001,2025-09-01,202509,268.28,51.75,919.85
S000001,2025-10-01,202510,329.68,81.35,486.29
S000001,2025-11-01,202511,301.01,82.22,527.35
S000001,2025-12-01,202512,383.81,67.99,656.25
S000002,2025-07-01,202507,295.85,117.05,697.98
S000002,2025-08-01,202508,254.81,96.45,516.87
S000002,2025-09-01,202509,368.8,40.81,500.77
S000002,2025-10-01,202510,367.72,94.77,725.71
S000002,2025-11-01,202511,339.59,73.98,478.22
S000002,2025-12-01,202512,285.21,70.79,858.57
S000003,2025-05-01,202505,380.93,44.74,748.61
S000003,2025-06-01,202506,315.34,66.46,791.75
S000003,2025-07-01,202507,442.79,98.63,574.12
S000003,2025-08-01,202508,322.17,86.63,846.33
S000003,2025-09-01,202509,306.87,76.29,534.05
S000003,2025-10-01,202510,242.34,96.25,903.44
S000003,2025-11-01,202511,343.52,100.07,754.25
S000003,2025-12-01,202512,291.94,87.23,930.71
S000004,2025-08-01,202508,346.78,111.29,307.04
S000004,2025-09-01,202509,423.97,81.74,655.15
S000004,2025-10-01,202510,358.26,40.25,667.05
S000004,2025-11-01,202511,382.14,109.56,622.26
S000004,2025-12-01,202512,277.24,69.96,837.31
S000005,2025-10-01,202510,379.59,69.4,776.99
S000005,2025-11-01,202511,358.74,99.37,594.69
S000006,2025-06-01,202506,320.51,72.16,480.47
S000006,2025-07-01,202507,376.65,85.22,700.77
S000006,2025-08-01,202508,328.89,51.69,636.9
S000006,2025-09-01,202509,319.16,63.95,675.81
S000006,2025-10-01,202510,386.36,117.72,726.19
S000006,2025-11-01,202511,373.18,78.51,412.18
S000006,2025-12-01,202512,347.61,81.2,1069.49
S000007,2025-08-01,202508,332.69,86.03,694.79
S000007,2025-09-01,202509,244.82,102.86,812.79
S000007,2025-10-01,202510,421.19,61.81,910.42
S000007,2025-11-01,202511,223.83,91.74,1028.57
S000007,2025-12-01,202512,260.85,68.67,714.95
S000008,2025-03-01,202503,304.69,48.99,710.28
S000008,2025-04-01,202504,254.39,89.47,562.09
S000008,2025-05-01,202505,489.49,64.33,651.69
S000008,2025-06-01,202506,423.22,55.38,734.12
S000008,2025-07-01,202507,467.64,47.85,727.7
S000008,2025-08-01,202508,373.39,95.64,514.46
S000008,2025-09-01,202509,231.16,90.44,744.55
S000008,2025-10-01,202510,372.54,86.93,598.0
S000008,2025-11-01,202511,370.9,85.86,592.85
S000008,2025-12-01,202512,517.92,89.48,521.3
S000009,2025-04-01,202504,409.09,60.51,818.06
S000009,2025-05-01,202505,454.27,63.59,844.51
S000009,2025-06-01,202506,387.15,96.44,984.52
S000009,2025-07-01,202507,327.92,64.93,566.57
S000009,2025-08-01,202508,276.58,78.46,751.17
S000009,2025-09-01,202509,374.9,96.54,701.95
S000009,2025-10-01,202510,480.82,74.71,1108.03
S000009,2025-11-01,202511,406.31,62.86,539.37
S000009,2025-12-01,202512,393.42,75.53,807.1
S000010,2025-12-01,202512,392.59,78.54,572.98
S000011,2025-11-01,202511,213.66,71.07,828.46
S000011,2025-12-01,202512,369.27,55.09,725.98
S000012,2025-08-01,202508,384.68,62.32,723.06
S000012,2025-09-01,202509,355.24,57.14,753.67
S000012,2025-10-01,202510,400.47,101.66,858.07
S000012,2025-11-01,202511,226.01,61.24,777.26
S000012,2025-12-01,202512,396.24,90.3,1277.91
S000013,2025-08-01,202508,401.38,102.71,843.1
S000013,2025-09-01,202509,408.63,73.69,813.85
S000013,2025-10-01,202510,280.45,75.26,627.2
S000014,2025-04-01,202504,357.37,126.29,419.91
S000014,2025-05-01,202505,411.76,47.75,629.21
S000014,2025-06-01,202506,448.01,81.29,538.34
S000014,2025-07-01,202507,285.62,93.59,590.45
S000014,2025-08-01,202508,369.48,80.91,602.26
