payment_id,subscription_id,bill_month,billed_amount,paid_amount,payment_status
P00000001,S000001,202503,399,399,PAID
P00000002,S000001,202504,399,399,PAID
P00000003,S000001,202505,399,399,PAID
P00000004,S000001,202506,399,399,PAID
P00000005,S000001,202507,399,399,PAID
P00000006,S000001,202508,399,399,PAID
P00000007,S000001,202509,399,399,PAID
P00000008,S000001,202510,399,399,PAID
P00000009,S000001,202511,399,399,PAID
P00000010,S000001,202512,399,399,PAID
P00000011,S000002,202507,499,499,PAID
P00000012,S000002,202508,499,499,LATE
P00000013,S000002,202509,499,499,LATE
P00000014,S000002,202510,499,499,PAID
P00000015,S000002,202511,499,499,PAID
P00000016,S000002,202512,499,499,PAID
P00000017,S000003,202505,599,599,PAID
P00000018,S000003,202506,599,599,PAID
P00000019,S000003,202507,599,599,PAID
P00000020,S000003,202508,599,599,PAID
P00000021,S000003,202509,599,599,PAID
P00000022,S000003,202510,599,599,PAID
P00000023,S000003,202511,599,599,PAID
P00000024,S000003,202512,599,599,PAID
P00000025,S000004,202508,499,499,LATE
P00000026,S000004,202509,499,499,PAID
P00000027,S000004,202510,499,499,PAID
P00000028,S000004,202511,499,499,PAID
P00000029,S000004,202512,499,499,PAID
P00000030,S000005,202510,799,799,PAID
P00000031,S000005,202511,799,799,PAID
P00000032,S000006,202506,599,599,PAID
P00000033,S000006,202507,599,599,PAID
P00000034,S000006,202508,599,599,PAID
P00000035,S000006,202509,599,599,PAID
P00000036,S000006,202510,599,599,PAID
P00000037,S000006,202511,599,599,PAID
P00000038,S000006,202512,599,599,PAID
P00000039,S000007,202508,399,399,PAID
P00000040,S000007,202509,399,0,UNPAID
P00000041,S000007,202510,399,399,PAID
P00000042,S000007,202511,399,399,PAID
P00000043,S000007,202512,399,0,UNPAID
P00000044,S000008,202503,999,999,PAID
P00000045,S000008,202504,999,999,PAID
P00000046,S000008,202505,999,999,PAID
P00000047,S000008,202506,999,999,PAID
P00000048,S000008,202507,999,999,PAID
P00000049,S000008,202508,999,999,PAID
P00000050,S000008,202509,999,0,UNPAID
P00000051,S000008,202510,999,999,PAID
P00000052,S000008,202511,999,999,PAID
P00000053,S000008,202512,999,999,LATE
P00000054,S000009,202504,499,499,LATE
P00000055,S000009,202505,499,499,PAID
P00000056,S000009,202506,499,499,PAID
P00000057,S000009,202507,499,499,PAID
P00000058,S000009,202508,499,499,PAID
P00000059,S000009,202509,499,499,PAID
P00000060,S000009,202510,499,499,PAID
P00000061,S000009,202511,499,499,LATE
P00000062,S000009,202512,499,499,PAID
P00000063,S000010,202512,799,799,PAID
P00000064,S000011,202511,399,399,PAID
P00000065,S000011,202512,399,399,PAID
P00000066,S000012,202508,499,499,PAID
P00000067,S000012,202509,499,499,PAID
P00000068,S000012,202510,499,0,UNPAID
P00000069,S000012,202511,499,499,PAID
P00000070,S000012,202512,499,499,PAID
P00000071,S000013,202508,399,399,PAID
P00000072,S000013,202509,399,399,PAID
P00000073,S000013,202510,399,399,PAID
P00000074,S000014,202504,399,0,UNPAID
P00000075,S000014,202505,399,399,PAID
P00000076,S000014,202506,399,399,PAID
P00000077,S000014,202507,399,0,UNPAID
